CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1613902,13000361137,2013361137,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,10/04/2013 04:55:00 PM,3XX BLOCK OF 10 AV,E,E3,8600.2009,-122.319411923,47.604780984,"(47.604780984, -122.319411923)",,,,
1613827,13000360789,2013360789,053,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,10/04/2013 03:21:00 PM,2XX BLOCK OF 20 AV E,C,C2,7600.2004,-122.306056063,47.619945092,"(47.619945092, -122.306056063)",,,,
1613566,13000360656,2013360656,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/04/2013 09:58:00 AM,8XX BLOCK OF 23 AV,G,G3,8800.5011,-122.302762003,47.609521063,"(47.609521063, -122.302762003)",,,,
1612632,13000359508,2013359508,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/03/2013 01:06:00 PM,21XX BLOCK OF E SPRUCE ST,G,G1,8700.2008,-122.304391783,47.603509963,"(47.603509963, -122.304391783)",,,,
1612522,13000359316,2013359316,053,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,10/03/2013 10:22:00 AM,15XX BLOCK OF 12 AV,C,C2,7500.4006,-122.316845012,47.61468385,"(47.61468385, -122.316845012)",,,,
1612466,13000359241,2013359241,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/03/2013 09:09:00 AM,25XX BLOCK OF W MONTLAKE PL E,C,C3,6200.5007,-122.305771635,47.642686337,"(47.642686337, -122.305771635)",,,,
1612441,13000359123,2013359123,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,10/03/2013 08:11:00 AM,17XX BLOCK OF BELMONT AV,E,E1,7400.4003,-122.324495888,47.617046943,"(47.617046943, -122.324495888)",,,,
1612169,13000358935,2013358935,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,10/03/2013 02:55:00 AM,14XX BLOCK OF E WARD ST,C,C1,6500.2009,-122.313570002,47.627648768,"(47.627648768, -122.313570002)",,,,
1611933,13000358718,2013358718,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/02/2013 09:09:00 PM,22XX BLOCK OF 38 PL E,C,C3,6300.6003,-122.283869179,47.639042669,"(47.639042669, -122.283869179)",,,,
1611837,13000358557,2013358557,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/02/2013 07:16:00 PM,39XX BLOCK OF E MC GRAW ST,C,C3,6300.6001,-122.282305487,47.640058671,"(47.640058671, -122.282305487)",,,,
