Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
PROSTITUTION,05/30/2015 01:10:00 PM,N 90 ST / AURORA AV N,-122.344564966,47.694185668,"(47.694185668, -122.344564966)"
PROSTITUTION,05/29/2015 07:16:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,05/28/2015 10:32:00 PM,35 AV SW / SW AVALON WY,-122.376192058,47.564075586,"(47.564075586, -122.376192058)"
ALARMS - RESIDENTIAL PANIC (FALSE),05/28/2015 03:07:00 AM,10 AV S / S JACKSON ST,-122.319642119,47.599183517,"(47.599183517, -122.319642119)"
PROSTITUTION,05/28/2015 02:34:00 AM,N 94 ST / AURORA AV N,-122.344603223,47.697081873,"(47.697081873, -122.344603223)"
PROSTITUTION,05/28/2015 01:23:00 AM,10 AV S / S WELLER ST,-122.319646973,47.597508091,"(47.597508091, -122.319646973)"
LEWD CONDUCT,05/27/2015 11:04:00 PM,10 AV S / S KING ST,-122.319646611,47.598347148,"(47.598347148, -122.319646611)"
"DISTURBANCE, OTHER",05/26/2015 03:59:00 PM,11XX BLOCK OF N 90 ST,-122.344027068,47.694182643,"(47.694182643, -122.344027068)"
PROSTITUTION,05/23/2015 06:19:00 PM,11XX BLOCK OF N 92 ST,-122.343234396,47.695625792,"(47.695625792, -122.343234396)"
PROSTITUTION,05/23/2015 05:55:00 AM,N 95 ST / AURORA AV N,-122.344608114,47.69780844,"(47.69780844, -122.344608114)"
PROSTITUTION,05/22/2015 12:46:00 AM,3XX BLOCK OF DENNY WY,-122.349640259,47.618579108,"(47.618579108, -122.349640259)"
PROSTITUTION,05/21/2015 09:02:00 PM,22XX BLOCK OF 4 AV S,-122.329054587,47.582935255,"(47.582935255, -122.329054587)"
PARKS EXCLUSION,05/19/2015 09:09:00 PM,N 107 ST / AURORA AV N,-122.34472544,47.706866483,"(47.706866483, -122.34472544)"
PROSTITUTION,05/18/2015 08:03:00 PM,AURORA AV N / N 97 ST,-122.344632324,47.699617846,"(47.699617846, -122.344632324)"
SUSPICIOUS PERSON,05/18/2015 06:33:00 PM,95XX BLOCK OF GREENWOOD AV N,-122.355386474,47.698744223,"(47.698744223, -122.355386474)"
SUSPICIOUS PERSON,05/17/2015 09:45:00 PM,N 94 ST / AURORA AV N,-122.344603223,47.697081873,"(47.697081873, -122.344603223)"
