OBJECTID,Shape,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,PHONE,WEBSITE,SCHOOL
1,"(47.67363214300008, -122.39151959399999)",Adams,K - 5,Elementary,6110 28th Ave NW,Seattle,98107,(206) 252-1300,http://adamses.seattleschools.org/,Adams
2,"(47.57714173900007, -122.40782717099995)",Alki,K - 5,Elementary,3010 59th Ave SW,Seattle,98116,(206) 252-9050,http://alkies.seattleschools.org/,Alki
3,"(47.509700363000036, -122.37758780799999)",Arbor Heights,K - 5,Elementary,3701 SW 104th St,Seattle,98146,(206) 252-9250,http://arborheights.wikispaces.com/,Arbor Heights
4,"(47.68635707200008, -122.342304878)",Daniel Bagley,K - 5,Elementary,7821 Stone Ave N,Seattle,98103,(206) 252-5110,http://www.danielbagley.com/,Bagley
5,"(47.67184192900004, -122.29220552699996)",Bryant,K - 5,Elementary,3311 NE 60th St,Seattle,98115,(206) 252-5200,http://bryantes.seattleschools.org/,Bryant
6,"(47.640515976000074, -122.36559908799995)",Frantz Coe,K - 5,Elementary,2424 7th Ave W,Seattle,98119,(206) 252-2000,http://www.coeschool.org/,Coe
7,"(47.523610905000055, -122.32469058999999)",Concord International School,K - 5,Elementary,723 S Concord St,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,Concord
8,"(47.654635461000055, -122.34912372299999)",B.F. Day,K - 5,Elementary,3921 Linden Ave N,Seattle,98103,(206) 252-6010,http://dayes.seattleschools.org/,B.F. Day
9,"(47.55226236000004, -122.29628698599998)",Dearborn Park,K - 5,Elementary,2820 S Orcas St,Seattle,98108,(206) 252-6930,http://dearbornes.seattleschools.org/,Dearborn Park
10,"(47.52498919300007, -122.274655656)",Dunlap,K - 5,Elementary,4525 S Cloverdale St,Seattle,98118,(206) 252-7000,http://dunlapes.seattleschools.org/,Dunlap
11,"(47.51482046700005, -122.25863615099996)",Emerson,K - 5,Elementary,9709 60th Ave S,Seattle,98118,(206) 252-7100,http://emersones.seattleschools.org/,Emerson
12,"(47.54025089100003, -122.38849821499997)",Gatewood,K - 5,Elementary,4320 SW Myrtle St,Seattle,98136,(206) 252-9400,http://gatewoodes.seattleschools.org/,Gatewood
13,"(47.601200522000056, -122.31548471999997)",Bailey Gatzert,K - 5,Elementary,1301 E Yesler Way,Seattle,98122,(206) 252-2810,http://gatzertes.seattleschools.org/,Gatzert
14,"(47.54575730600004, -122.26853423199998)",Graham Hill,K - 5,Elementary,5149 S Graham St,Seattle,98118,(206) 252-7140,http://grahamhilles.seattleschools.org/,Graham Hill
15,"(47.67630159300006, -122.32849786799994)",Green Lake,K - 5,Elementary,2400 N 65th St,Seattle,98106,(206) 252-5320,http://www.greenlakedragons.org/,Green Lake
16,"(47.687253902000066, -122.35996030099994)",Greenwood,K - 5,Elementary,144 NW 80th St,Seattle,98117,(206) 252-1400,http://www.greenwoodpta.org/,Greenwood
17,"(47.565905187000055, -122.28338622599995)",Hawthorne,K - 5,Elementary,4100 39th Ave S,Seattle,98188,(206) 252-7210,http://hawthornees.seattleschools.org/,Hawthorne
18,"(47.63289847800007, -122.35171659599996)",John Hay,K - 5,Elementary,201 Garfield St,Seattle,98109,(206) 252-2100,http://hayes.seattleschools.org/,Hay
19,"(47.52517749700007, -122.34827728099998)",Highland Park,K - 5,Elementary,1012 SW Trenton St,Seattle,98106,(206) 252-8240,http://highlandparkes.seattleschools.org/,Highland Park
20,"(47.57949541100004, -122.38723456499997)",Lafayette,K - 5,Elementary,2645 California Ave SW,Seattle,98116,(206) 252-9500,http://www.mylafayette.org/,Lafayette
21,"(47.66219802200004, -122.27796308599994)",Laurelhurst,K - 5,Elementary,4530 46th Ave NE,Seattle,98105,(206) 252-5400,http://laurelhurstes.seattleschools.org/,Laurelhurst
22,"(47.656712414000026, -122.390474515)",Lawton,K - 5,Elementary,4000 27th Ave W,Seattle,98199,(206) 252-2130,http://lawtonelementary.org/,Lawton
23,"(47.60210319600003, -122.291813634)",Leschi,K - 5,Elementary,135 32nd Ave,Seattle,98122,(206) 252-2950,http://www.leschischool.com/,Leschi
24,"(47.62442343300006, -122.31837890599996)",Lowell,K - 5,Elementary,1058 E Mercer St,Seattle,98102,(206) 252-3020,http://lowelles.seattleschools.org/,Lowell
25,"(47.65996177400007, -122.33962242799998)",Lowell APP @ Lincoln,K - 5,Elementary,4400 Interlake Ave N,Seattle,98103,(206) 252-5914,http://seattlenorthapp.org/,Lowell APP
26,"(47.686435438000046, -122.38905045399997)",Loyal Heights,K - 5,Elementary,2511 NW 80th St,Seattle,98117,(206) 252-1500,http://loyalheightses.seattleschools.org/,Loyal Heights
27,"(47.558125707000045, -122.31889888599994)",Maple,K - 5,Elementary,4925 Corson Ave S,Seattle,98108,(206) 252-8310,http://maplees.seattleschools.org/,Maple
28,"(47.59095855000004, -122.29984633999999)",Thurgood Marshall,K - 5,Elementary,2401 S Irving St,Seattle,98144,(206) 252-2800,http://marshalles.seattleschools.org/,Thurgood Marshall
29,"(47.54174320000004, -122.27691176399998)",Martin Luther King Jr.,K - 5,Elementary,6725 45th Ave S,Seattle,98118,(206) 252-6770,http://kinges.seattleschools.org/,MLK Jr.
30,"(47.65996177400007, -122.33962242799998)",McDonald,K - 5,Elementary,4400 Interlake Ave N,Seattle,98103,(206) 252-2900,http://www.mcdonaldpta.org/,McDonald
31,"(47.63407773700004, -122.28483181799999)",McGilvra,K - 5,Elementary,1617 38th Ave E,Seattle,98112,(206) 252-3160,http://mcgilvraes.seattleschools.org/,McGilvra
32,"(47.57324135300007, -122.29057986899994)",John Muir,K - 5,Elementary,3301 S Horton St,Seattle,98144,(206) 252-7400,http://muires.seattleschools.org/,Muir
